time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-11,21.7,5.9,0.0,0.0,0.0,0.0,20.9,37.8,44019.59,,24.23,4.9,3.0,Berne
2023-04-12,24.0,11.6,0.0,0.0,0.0,0.0,25.0,44.6,44039.73,,24.32,5.63,3.0,Berne
2023-04-13,24.5,9.1,0.0,0.0,0.0,0.0,16.4,27.4,44322.88,,25.02,5.23,1.0,Berne
2023-04-14,26.0,9.1,0.0,0.0,0.0,0.0,10.9,22.3,36608.36,,22.18,4.4,3.0,Berne
2023-04-15,25.3,11.8,0.0,0.0,0.0,0.0,18.7,36.0,44441.06,,21.9,4.55,3.0,Berne
2023-04-16,19.8,6.1,2.0,2.0,0.0,0.0,37.9,65.5,15859.25,,10.31,2.71,61.0,Berne
2023-04-17,5.2,1.6,2.9,2.0,0.0,0.63,42.5,75.2,222.06,,8.02,1.73,73.0,Berne
2023-04-18,12.2,0.0,0.0,0.0,0.0,0.0,24.5,45.4,45071.19,,25.3,3.53,2.0,Berne
2023-04-19,22.4,1.6,0.1,0.1,0.0,0.0,19.8,38.9,45218.32,,24.03,4.34,51.0,Berne
2023-04-20,26.8,14.7,0.2,0.2,0.0,0.0,33.0,57.6,39840.6,,21.92,6.55,51.0,Berne
2023-04-21,21.3,8.7,6.4,6.4,0.0,0.0,27.4,46.1,0.0,,8.17,1.97,61.0,Berne
2023-04-22,11.7,4.6,0.6,0.6,0.0,0.0,30.2,55.8,36341.37,,21.49,3.17,51.0,Berne
2023-04-23,8.3,1.0,0.3,0.3,0.0,0.0,22.0,41.0,24983.28,,15.15,2.61,51.0,Berne
2023-04-24,8.8,-1.7,0.2,0.1,0.0,0.07,18.9,35.3,21498.09,,14.79,2.24,71.0,Berne
2023-04-25,12.6,1.2,1.9,1.9,0.0,0.0,25.2,45.4,16107.24,,11.84,2.32,53.0,Berne
2023-04-26,13.2,-1.3,0.2,0.2,0.0,0.0,10.9,27.0,46044.75,,25.39,3.46,51.0,Berne
2023-04-27,16.7,0.8,0.0,0.0,0.0,0.0,16.2,31.0,41016.53,,24.69,4.18,3.0,Berne
2023-04-28,15.3,7.0,19.3,19.3,0.0,0.0,22.7,40.7,559.5,,7.72,1.53,63.0,Berne
