time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-11,13.5,9.1,5.1,5.1,0.0,0.0,12.9,30.2,5971.99,,8.92,1.71,61.0,Genève
2023-04-12,14.2,6.9,5.7,5.7,0.0,0.0,18.3,38.5,2298.05,,7.95,1.5,61.0,Genève
2023-04-13,10.6,2.4,5.8,3.6,0.0,1.54,10.8,24.8,39056.21,,17.38,2.26,75.0,Genève
2023-04-14,11.9,2.2,2.3,2.3,0.0,0.0,14.4,28.4,34364.47,,16.73,2.4,55.0,Genève
2023-04-15,10.0,6.5,16.6,16.6,0.0,0.0,14.8,35.6,12407.27,,8.97,1.36,63.0,Genève
2023-04-16,12.2,6.0,0.0,0.0,0.0,0.0,16.1,32.0,24914.37,,11.94,1.78,3.0,Genève
2023-04-17,12.7,5.3,0.0,0.0,0.0,0.0,22.1,43.6,45568.01,,17.71,2.46,3.0,Genève
2023-04-18,15.2,4.7,0.1,0.1,0.0,0.0,14.4,29.5,42138.11,,20.91,2.87,51.0,Genève
2023-04-19,14.8,4.8,0.0,0.0,0.0,0.0,11.6,24.5,45490.37,,23.23,3.11,2.0,Genève
2023-04-20,10.3,4.4,3.6,3.6,0.0,0.0,12.4,26.6,34907.75,,13.02,1.55,61.0,Genève
2023-04-21,11.4,3.7,2.2,2.2,0.0,0.0,11.4,23.4,28726.45,,15.52,1.96,61.0,Genève
2023-04-22,16.7,6.6,0.9,0.9,0.0,0.0,9.9,25.2,35576.19,,17.39,2.66,53.0,Genève
2023-04-23,18.2,8.0,14.4,14.4,0.0,0.0,19.6,42.8,33305.45,,17.55,2.83,63.0,Genève
2023-04-24,14.4,7.5,2.8,2.8,0.0,0.0,15.4,32.8,39743.04,,19.72,3.0,53.0,Genève
2023-04-25,13.9,6.5,5.9,5.9,0.0,0.0,11.9,26.6,41539.12,,17.12,2.63,61.0,Genève
2023-04-26,17.7,4.5,0.0,0.0,0.0,0.0,9.9,20.5,40665.48,,23.24,3.55,3.0,Genève
2023-04-27,19.0,7.2,0.0,0.0,0.0,0.0,7.6,19.4,46800.0,,20.5,3.35,3.0,Genève
