time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-11,12.3,8.7,5.1,5.1,0.0,0.0,12.2,33.8,2164.26,,8.91,1.62,61.0,Neuchâtel
2023-04-12,13.4,7.3,6.7,6.7,0.0,0.0,21.7,49.7,3347.3,,7.4,1.36,55.0,Neuchâtel
2023-04-13,9.1,3.8,1.4,1.4,0.0,0.0,13.2,32.4,39501.65,,13.4,1.81,51.0,Neuchâtel
2023-04-14,11.2,1.2,0.0,0.0,0.0,0.0,7.2,21.2,41624.47,,21.03,2.73,3.0,Neuchâtel
2023-04-15,7.9,4.2,8.8,8.8,0.0,0.0,17.1,39.6,1585.02,,3.19,0.6,61.0,Neuchâtel
2023-04-16,9.2,4.1,0.7,0.7,0.0,0.0,10.7,22.3,0.0,,5.23,0.94,51.0,Neuchâtel
2023-04-17,12.2,6.3,2.7,2.7,0.0,0.0,17.0,37.4,37393.53,,15.74,2.13,53.0,Neuchâtel
2023-04-18,14.5,7.1,0.0,0.0,0.0,0.0,16.6,35.3,28483.43,,16.48,2.44,3.0,Neuchâtel
2023-04-19,14.3,6.0,0.0,0.0,0.0,0.0,14.5,30.2,45267.54,,18.19,2.65,3.0,Neuchâtel
2023-04-20,8.6,3.4,4.0,3.3,0.0,0.49,15.0,33.1,11592.98,,8.97,1.25,73.0,Neuchâtel
2023-04-21,11.9,2.6,2.0,2.0,0.0,0.0,8.0,17.3,26630.18,,15.31,2.1,61.0,Neuchâtel
2023-04-22,16.1,7.2,0.5,0.5,0.0,0.0,14.8,34.2,36576.52,,16.47,2.53,51.0,Neuchâtel
2023-04-23,16.6,9.0,8.1,8.1,0.0,0.0,17.7,45.4,37562.79,,18.7,2.9,61.0,Neuchâtel
2023-04-24,13.1,5.3,2.9,2.9,0.0,0.0,19.9,42.5,40747.03,,18.77,2.66,53.0,Neuchâtel
2023-04-25,11.4,4.8,5.7,5.7,0.0,0.0,13.8,33.5,38263.43,,16.37,2.18,61.0,Neuchâtel
2023-04-26,14.3,4.0,0.0,0.0,0.0,0.0,11.9,26.3,29771.74,,17.94,2.69,3.0,Neuchâtel
2023-04-27,17.8,6.4,0.0,0.0,0.0,0.0,8.0,23.4,46800.0,,21.7,3.38,3.0,Neuchâtel
2023-04-28,19.6,11.4,8.9,8.9,0.0,0.0,13.4,31.0,22923.73,,12.7,2.22,61.0,Neuchâtel
2023-04-29,19.7,11.4,6.0,6.0,0.0,0.0,12.1,25.2,35628.7,,17.02,2.94,63.0,Neuchâtel
2023-04-30,15.1,10.0,0.3,0.3,0.0,0.0,16.6,34.9,16811.09,,11.73,1.95,51.0,Neuchâtel
2023-05-01,13.6,9.5,21.0,21.0,0.0,0.0,8.6,23.0,4616.12,,10.53,1.66,63.0,Neuchâtel
2023-05-02,16.8,7.1,0.5,0.5,0.0,0.0,13.5,28.8,46457.67,,20.21,3.12,51.0,Neuchâtel
2023-05-03,17.5,7.4,0.0,0.0,0.0,0.0,19.3,42.8,46870.13,,25.07,3.75,2.0,Neuchâtel
2023-05-04,21.4,8.6,0.0,0.0,0.0,0.0,11.0,25.2,47025.22,,25.59,4.22,3.0,Neuchâtel
2023-05-05,21.8,9.4,5.3,5.3,0.0,0.0,15.6,32.0,40781.48,,19.58,3.36,63.0,Neuchâtel
2023-05-06,19.1,11.0,5.8,5.8,0.0,0.0,13.3,28.8,46536.78,,19.65,3.2,61.0,Neuchâtel
2023-05-07,19.3,11.0,6.3,6.3,0.0,0.0,12.6,28.8,27536.3,,16.14,2.65,63.0,Neuchâtel
2023-05-08,17.8,12.2,1.8,1.8,0.0,0.0,8.6,23.0,41229.55,,16.21,2.67,51.0,Neuchâtel
2023-05-09,18.3,10.3,11.7,11.7,0.0,0.0,11.4,31.0,21828.88,,13.4,2.3,63.0,Neuchâtel
2023-05-10,14.5,8.1,7.2,7.2,0.0,0.0,17.1,37.8,44330.94,,20.6,3.01,63.0,Neuchâtel
2023-05-11,13.9,8.4,11.5,11.5,0.0,0.0,5.1,20.9,29848.94,,15.0,2.25,63.0,Neuchâtel
2023-05-12,15.8,8.7,2.7,2.7,0.0,0.0,12.0,27.4,38823.48,,16.35,2.55,53.0,Neuchâtel
2023-05-13,15.1,8.3,1.8,1.8,0.0,0.0,12.9,30.6,35077.11,,15.64,2.42,55.0,Neuchâtel
2023-05-14,15.7,7.8,13.6,13.6,0.0,0.0,8.7,24.5,46800.0,,18.59,2.78,63.0,Neuchâtel
2023-05-15,16.0,7.6,1.6,1.6,0.0,0.0,8.7,24.1,46997.63,,19.82,3.01,51.0,Neuchâtel
2023-05-16,12.9,9.2,3.9,3.9,0.0,0.0,18.7,41.4,2103.52,,7.4,1.43,53.0,Neuchâtel
2023-05-17,13.0,8.0,0.0,0.0,0.0,0.0,25.7,54.0,11255.37,,13.24,2.51,3.0,Neuchâtel
2023-05-18,13.9,7.1,1.0,1.0,0.0,0.0,19.2,41.0,32999.45,,16.23,2.67,53.0,Neuchâtel
2023-05-19,15.8,8.1,0.5,0.5,0.0,0.0,17.6,37.4,22946.83,,15.84,2.57,51.0,Neuchâtel
2023-05-20,18.6,8.5,0.5,0.5,0.0,0.0,15.9,34.6,29055.6,,17.96,2.84,51.0,Neuchâtel
2023-05-21,22.0,11.5,0.0,0.0,0.0,0.0,9.3,21.2,43448.83,,22.31,3.83,3.0,Neuchâtel
2023-05-22,23.0,12.0,0.7,0.7,0.0,0.0,10.0,24.5,49238.87,,25.23,4.41,51.0,Neuchâtel
2023-05-23,21.7,12.9,6.7,6.7,0.0,0.0,11.5,28.8,39971.14,,20.6,3.55,63.0,Neuchâtel
2023-05-24,14.5,11.5,1.4,1.4,0.0,0.0,14.3,30.6,752.6,,7.16,1.51,51.0,Neuchâtel
2023-05-25,18.3,10.4,0.4,0.4,0.0,0.0,17.9,37.4,32324.82,,18.6,3.24,51.0,Neuchâtel
2023-05-26,22.8,11.5,0.0,0.0,0.0,0.0,13.5,29.5,50880.76,,23.55,4.2,3.0,Neuchâtel
2023-05-27,23.4,12.8,0.0,0.0,0.0,0.0,15.3,33.8,51407.07,,27.66,5.0,1.0,Neuchâtel
2023-05-28,23.9,11.9,0.0,0.0,0.0,0.0,14.6,30.2,51785.42,,28.52,5.33,0.0,Neuchâtel
2023-05-29,23.8,10.6,0.0,0.0,0.0,0.0,18.4,38.9,51881.78,,29.03,5.65,0.0,Neuchâtel
2023-05-30,23.2,11.3,0.0,0.0,0.0,0.0,16.9,37.1,50169.06,,27.84,5.35,3.0,Neuchâtel
2023-05-31,23.3,12.5,0.6,0.6,0.0,0.0,14.2,32.8,51968.27,,27.06,5.03,51.0,Neuchâtel
2023-06-01,24.1,13.2,0.3,0.3,0.0,0.0,10.3,23.4,51513.97,,26.2,4.85,51.0,Neuchâtel
2023-06-02,25.1,14.1,0.0,0.0,0.0,0.0,14.0,30.2,49525.43,,26.55,5.26,3.0,Neuchâtel
2023-06-03,24.7,13.4,0.1,0.1,0.0,0.0,10.0,24.1,47797.25,,26.28,4.98,51.0,Neuchâtel
2023-06-04,23.7,14.1,2.8,2.8,0.0,0.0,11.7,26.6,49778.68,,23.53,4.39,61.0,Neuchâtel
2023-06-05,24.2,14.6,0.0,0.0,0.0,0.0,14.5,30.6,52450.62,,28.23,5.33,1.0,Neuchâtel
2023-06-06,24.5,12.6,0.0,0.0,0.0,0.0,10.5,23.4,51878.8,,25.94,5.09,2.0,Neuchâtel
2023-06-07,25.4,13.4,0.0,0.0,0.0,0.0,12.8,26.6,52575.57,,27.48,5.44,2.0,Neuchâtel
