iter	RMSE
0	1.530326132
1	1.51847043
2	1.512884132
3	1.5043448
4	1.496285833
5	1.488358035
6	1.483719697
7	1.473547978
8	1.466135891
9	1.461351594
10	1.453380804
11	1.44878099
12	1.438916788
13	1.430681037
14	1.424316196
15	1.417209704
16	1.408137972
17	1.401263299
18	1.397725557
19	1.395198306
20	1.388976448
21	1.379727199
22	1.37457391
23	1.369035169
24	1.362521114
25	1.359261257
26	1.351803451
27	1.347791993
28	1.344308684
29	1.337818286
30	1.331132289
31	1.328700004
32	1.324546714
33	1.320052513
34	1.316857729
35	1.312448739
36	1.306729384
37	1.302426623
38	1.297217299
39	1.295023899
40	1.290279393
41	1.283726527
42	1.280883907
43	1.277198733
44	1.274572518
45	1.270925605
46	1.265490421
47	1.262552873
48	1.259715454
49	1.254802072
50	1.251750453
51	1.249667702
52	1.243750648
53	1.240910818
54	1.237895255
55	1.23316608
56	1.227930626
57	1.224346635
58	1.220583837
59	1.215754285
60	1.211176241
61	1.206703629
62	1.202203115
63	1.198898352
64	1.194784287
65	1.191534852
66	1.189449461
67	1.186666786
68	1.182303169
69	1.178343508
70	1.17626523
71	1.17053117
72	1.166801051
73	1.164708365
74	1.160662818
75	1.158421924
76	1.154054175
77	1.152086924
78	1.147286955
79	1.144090759
80	1.142150953
81	1.138813243
82	1.137095273
83	1.134846017
84	1.131523272
85	1.129231724
86	1.127058487
87	1.124041133
88	1.120733
89	1.117742903
90	1.113559631
91	1.111191325
92	1.107877303
93	1.104002019
94	1.099335482
95	1.096761205
96	1.092961022
97	1.08970807
98	1.088468182
99	1.085673267
100	1.083214729
101	1.080247841
102	1.076597154
103	1.072088521
104	1.07025839
105	1.068630918
106	1.06530643
107	1.06293466
108	1.060093196
109	1.057620414
110	1.056548641
111	1.054686621
112	1.051121722
113	1.048341554
114	1.045671213
115	1.044014614
116	1.043407151
117	1.042642921
118	1.039609505
119	1.038029964
120	1.03474786
121	1.032441395
122	1.029337257
123	1.026204257
124	1.022170318
125	1.020048733
126	1.017037641
127	1.014383972
128	1.011041069
129	1.010491429
130	1.008050334
131	1.00663536
132	1.003536745
133	1.002014184
134	1.00009044
135	0.9986421268
136	0.9979041378
137	0.9960712686
138	0.993995546
139	0.9913469863
140	0.9876875466
141	0.9834382265
142	0.9793197989
143	0.9769339987
144	0.9743144824
145	0.9733024739
146	0.9715228848
147	0.9673397753
148	0.9634271716
149	0.9627530447
150	0.9598431069
151	0.9552122353
152	0.9537303782
153	0.9529842131
154	0.9500910714
155	0.9495033644
156	0.9469581564
157	0.9438528467
158	0.9422743403
159	0.9410325917
160	0.9394743525
161	0.9365721191
162	0.9354736315
163	0.9346113669
164	0.9337830721
165	0.9310655152
166	0.9284377032
167	0.92402730671168	0.92126674717169	0.91921022172170	0.9170706173	171	0.916280174	1172	0.91529175	1.173	0.9129176	1.0174	0.909177	1.02175	0.90178	1.021176	0.179	1.02028177	0180	1.019869178181	1.0177582917182	1.0136360651183	1.012355687
184	1.009495082
185	1.008901008
186	1.008246383
187	1.003157204
188	1.002244518
189	1.000267737
190	0.9986778453
191	0.9961780233
192	0.9932712938
193	0.9928669877
194	0.9909589732
195	0.986870227
196	0.9824459158
197	0.9820757035
198	0.980817384
199	0.9801533597
705
197	0.8655517478
198	0.8620398903
199	0.8584919377
