iter	Passed	Remaining
0	2	518
1	6	622
2	9	601
3	12	608
4	16	638
5	20	654
6	23	654
7	27	661
8	31	668
9	34	664
10	38	666
11	42	668
12	59	854
13	62	831
14	65	813
15	69	793
16	72	775
17	75	764
18	78	748
19	81	737
20	85	724
21	88	717
22	92	708
23	95	696
24	98	688
25	101	677
26	104	670
27	107	659
28	110	650
29	113	645
30	116	637
31	120	630
32	123	624
33	126	618
34	129	612
35	133	609
36	137	604
37	140	597
38	144	595
39	148	592
40	151	586
41	155	584
42	159	581
43	162	576
44	165	571
45	169	567
46	173	564
47	176	558
48	179	552
49	183	549
50	186	543
51	189	540
52	193	535
53	196	532
54	200	528
55	203	523
56	207	519
57	210	514
58	213	509
59	216	504
60	219	500
61	222	495
62	226	491
63	229	487
64	232	482
65	235	478
66	239	474
67	242	471
68	246	468
69	249	463
70	252	458
71	255	454
72	259	450
73	262	447
74	266	443
75	269	439
76	272	435
77	275	430
78	278	427
79	282	423
80	286	420
81	290	417
82	293	413
83	297	410
84	300	406
85	303	402
86	307	399
87	310	395
88	314	392
89	317	388
90	321	384
91	324	381
92	328	378
93	331	374
94	335	370
95	338	367
96	342	363
97	345	359
98	348	355
99	352	352
100	355	348
101	358	344
102	362	340
103	367	339
104	371	336
105	374	331
106	377	327
107	380	323
108	383	320
109	386	316
110	389	312
111	393	309
112	396	305
113	399	301
114	402	297
115	406	294
116	409	290
117	412	286
118	416	283
119	419	279
120	422	275
121	425	272
122	428	268
123	431	264
124	434	260
125	438	257
126	441	253
127	444	249
128	447	246
129	450	242
130	453	239
131	457	235
132	460	232
133	463	228
134	467	225
135	470	221
136	473	217
137	476	214
138	479	210
139	482	206
140	485	203
141	489	200
142	493	196
143	497	193
144	501	190
145	504	186
146	507	182
147	510	179
148	514	176
149	517	172
150	520	168
151	524	165
152	527	161
153	530	158
154	533	155
155	537	151
156	540	147
157	543	144
158	548	141
159	552	138
160	555	134
161	558	130
162	561	127
163	565	124
164	568	120
165	571	117
166	574	113
167	577	110
168	581	106
169	584	103
170	587	99
171	590	96
172	594	92
173	597	89
174	601	85
175	604	82
176	608	79
177	611	75
178	614	72
179	617	68
180	620	65
181	624	61
182	627	58
183	631	54
184	634	51
185	637	48
186	641	44
187	644	41
188	647	37
189	650	34
190	654	30
191	657	27
192	660	23
193	663	20
194	666	17
195	669	13
196	672	10
197	674	6
198	676	3
199	678	0
