time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,12.5,6.0,0.2,0.2,0.0,0.0,18.0,37.4,43199.54,,19.15,3.07,51.0,Bâle
2023-04-10,14.8,5.9,0.0,0.0,0.0,0.0,19.4,38.2,43223.42,,22.32,3.49,3.0,Bâle
2023-04-11,14.8,7.3,0.0,0.0,0.0,0.0,9.5,23.8,30612.66,,15.02,2.5,3.0,Bâle
2023-04-12,16.1,7.5,0.0,0.0,0.0,0.0,20.5,39.2,33008.71,,15.76,3.38,3.0,Bâle
2023-04-13,14.5,9.1,24.7,24.7,0.0,0.0,22.3,46.8,5858.58,,7.53,1.16,63.0,Bâle
2023-04-14,12.6,6.8,4.0,4.0,0.0,0.0,18.7,39.2,35745.42,,14.69,2.08,55.0,Bâle
2023-04-15,14.2,7.0,3.5,3.5,0.0,0.0,18.6,42.5,38032.88,,18.46,2.43,61.0,Bâle
2023-04-16,14.7,9.0,1.2,1.2,0.0,0.0,20.6,46.8,23463.78,,13.88,2.56,51.0,Bâle
2023-04-17,17.7,7.7,1.2,1.2,0.0,0.0,24.0,53.3,36000.0,,18.16,3.42,55.0,Bâle
2023-04-18,16.9,10.6,0.6,0.6,0.0,0.0,18.0,36.0,36306.43,,15.0,2.9,53.0,Bâle
2023-04-19,17.9,10.4,6.7,6.7,0.0,0.0,13.1,26.6,43582.16,,21.53,3.51,63.0,Bâle
2023-04-20,16.8,10.7,0.7,0.7,0.0,0.0,19.0,41.4,40911.57,,20.07,3.4,53.0,Bâle
2023-04-21,19.4,10.6,4.0,4.0,0.0,0.0,16.1,29.2,43823.38,,21.69,3.82,61.0,Bâle
2023-04-22,18.8,9.9,0.0,0.0,0.0,0.0,14.5,34.2,44250.29,,22.92,3.69,3.0,Bâle
2023-04-23,18.5,9.8,0.0,0.0,0.0,0.0,16.9,39.2,41001.42,,21.75,3.65,3.0,Bâle
2023-04-24,15.7,11.1,15.9,15.9,0.0,0.0,20.9,42.8,10733.38,,7.91,1.39,63.0,Bâle
2023-04-25,13.1,9.3,9.0,9.0,0.0,0.0,21.3,40.3,9997.78,,8.22,1.47,63.0,Bâle
2023-04-26,15.9,6.9,0.8,0.8,0.0,0.0,13.8,31.3,44721.95,,23.38,3.59,51.0,Bâle
2023-04-27,18.0,9.8,0.0,0.0,0.0,0.0,12.8,26.3,45153.75,,24.09,4.06,3.0,Bâle
2023-04-28,17.9,8.5,0.4,0.4,0.0,0.0,16.1,37.1,36465.56,,21.57,3.71,51.0,Bâle
2023-04-29,19.6,12.1,0.9,0.9,0.0,0.0,14.2,25.9,19914.76,,14.44,2.59,51.0,Bâle
2023-04-30,20.9,11.5,0.0,0.0,0.0,0.0,23.8,50.8,44156.84,,23.38,4.16,3.0,Bâle
2023-05-01,20.3,13.4,0.8,0.8,0.0,0.0,24.3,46.8,28183.5,,16.1,4.05,51.0,Bâle
2023-05-02,16.2,13.3,25.3,25.3,0.0,0.0,24.6,46.4,0.0,,5.3,1.34,63.0,Bâle
2023-05-03,19.2,13.2,0.1,0.1,0.0,0.0,25.2,50.4,42726.88,,20.49,4.11,51.0,Bâle
2023-05-04,19.9,11.3,0.0,0.0,0.0,0.0,17.9,35.3,47394.11,,24.45,4.23,3.0,Bâle
2023-05-05,20.8,12.0,0.0,0.0,0.0,0.0,14.2,32.8,47556.86,,25.5,4.63,3.0,Bâle
2023-05-06,22.6,14.1,0.0,0.0,0.0,0.0,11.9,27.4,48422.98,,24.65,4.78,3.0,Bâle
2023-05-07,23.5,14.7,0.0,0.0,0.0,0.0,12.6,30.6,48138.38,,24.94,4.75,3.0,Bâle
2023-05-08,22.3,14.3,0.6,0.6,0.0,0.0,20.6,39.6,46698.96,,22.53,4.54,51.0,Bâle
2023-05-09,19.5,13.9,0.2,0.2,0.0,0.0,24.2,48.2,36710.55,,20.19,4.45,51.0,Bâle
2023-05-10,15.4,13.1,13.2,13.2,0.0,0.0,22.2,42.1,0.0,,5.39,1.61,61.0,Bâle
2023-05-11,16.9,11.9,14.8,14.8,0.0,0.0,25.2,49.3,24504.44,,12.92,2.05,61.0,Bâle
2023-05-12,16.8,11.1,14.3,14.3,0.0,0.0,12.9,31.7,36635.1,,17.93,2.67,63.0,Bâle
2023-05-13,17.9,11.5,5.6,5.6,0.0,0.0,14.8,34.9,41726.4,,22.5,3.44,63.0,Bâle
2023-05-14,17.3,11.2,4.9,4.9,0.0,0.0,18.4,38.9,23411.37,,14.39,2.45,53.0,Bâle
2023-05-15,17.5,10.1,2.3,2.3,0.0,0.0,18.4,34.9,38289.89,,21.97,3.57,53.0,Bâle
2023-05-16,19.3,14.0,17.2,17.2,0.0,0.0,42.3,81.4,18373.03,,14.22,3.33,63.0,Bâle
2023-05-17,19.7,13.0,2.2,2.2,0.0,0.0,29.3,57.6,39453.25,,21.13,4.5,61.0,Bâle
2023-05-18,19.5,12.0,0.0,0.0,0.0,0.0,19.8,45.0,47957.38,,24.3,4.47,3.0,Bâle
2023-05-19,18.8,13.0,0.0,0.0,0.0,0.0,26.2,50.4,42043.71,,21.53,4.15,3.0,Bâle
2023-05-20,21.5,15.0,0.0,0.0,0.0,0.0,24.1,50.0,21677.82,,16.69,3.86,3.0,Bâle
2023-05-21,26.0,18.1,0.0,0.0,0.0,0.0,24.5,49.3,50303.71,,26.03,6.08,3.0,Bâle
2023-05-22,25.7,18.2,0.1,0.1,0.0,0.0,21.3,41.8,50353.92,,26.03,5.77,51.0,Bâle
2023-05-23,25.0,17.8,0.0,0.0,0.0,0.0,14.4,24.8,50400.0,,27.26,5.49,3.0,Bâle
2023-05-24,24.9,16.0,0.1,0.1,0.0,0.0,19.7,37.4,50400.0,,26.82,5.37,51.0,Bâle
2023-05-25,24.9,18.2,0.0,0.0,0.0,0.0,24.1,46.8,50400.0,,26.57,5.65,3.0,Bâle
2023-05-26,25.0,17.6,1.0,1.0,0.0,0.0,15.0,32.0,50400.0,,25.94,5.5,51.0,Bâle
2023-05-27,25.2,18.2,0.0,0.0,0.0,0.0,21.9,42.1,50400.0,,27.24,6.29,1.0,Bâle
2023-05-28,24.9,18.0,0.0,0.0,0.0,0.0,20.4,38.5,50400.0,,27.67,5.9,2.0,Bâle
2023-05-29,25.5,18.8,0.0,0.0,0.0,0.0,20.3,43.6,50400.0,,26.77,6.13,2.0,Bâle
2023-05-30,25.8,17.7,0.3,0.3,0.0,0.0,21.7,46.8,50400.0,,26.76,6.34,51.0,Bâle
2023-05-31,25.0,17.8,0.1,0.1,0.0,0.0,21.6,47.2,50400.0,,27.19,6.25,51.0,Bâle
2023-06-01,25.7,16.8,0.7,0.7,0.0,0.0,16.8,32.8,50400.0,,27.0,5.46,53.0,Bâle
2023-06-02,25.3,17.4,4.4,4.4,0.0,0.0,14.0,26.6,50365.35,,24.38,4.88,63.0,Bâle
2023-06-03,26.5,17.7,1.7,1.7,0.0,0.0,17.1,36.0,50400.0,,26.06,5.51,53.0,Bâle
2023-06-04,25.3,18.5,0.5,0.5,0.0,0.0,17.0,32.0,46800.0,,25.19,5.29,51.0,Bâle
2023-06-05,19.9,16.2,23.7,23.7,0.0,0.0,17.7,36.7,2842.04,,9.54,1.68,63.0,Bâle
2023-06-06,22.9,16.2,13.8,13.8,0.0,0.0,10.0,26.6,45959.8,,21.69,3.67,63.0,Bâle
2023-06-07,23.1,15.9,2.4,2.4,0.0,0.0,9.7,27.4,46375.14,,25.41,4.4,61.0,Bâle
2023-06-08,24.1,16.9,3.3,3.3,0.0,0.0,12.7,28.4,49849.16,,27.15,4.79,61.0,Bâle
2023-06-09,24.8,16.5,0.0,0.0,0.0,0.0,11.5,28.8,50400.0,,27.01,4.92,3.0,Bâle
2023-06-10,23.4,18.5,10.6,10.6,0.0,0.0,9.7,29.2,37731.82,,18.54,3.25,63.0,Bâle
2023-06-11,24.7,17.6,1.3,1.3,0.0,0.0,15.7,31.0,44791.94,,21.85,4.39,53.0,Bâle
2023-06-12,25.4,18.2,0.0,0.0,0.0,0.0,20.4,43.6,49944.46,,26.77,5.52,3.0,Bâle
2023-06-13,24.7,18.2,2.9,2.9,0.0,0.0,20.3,40.0,39447.76,,21.59,4.98,61.0,Bâle
2023-06-14,25.3,17.9,0.1,0.1,0.0,0.0,18.2,36.7,50400.0,,24.79,5.56,51.0,Bâle
2023-06-15,26.3,18.4,0.0,0.0,0.0,0.0,23.4,48.6,50400.0,,26.99,6.19,3.0,Bâle
2023-06-16,26.7,17.3,1.0,1.0,0.0,0.0,16.3,38.5,50400.0,,26.7,5.99,53.0,Bâle
2023-06-17,26.4,15.0,0.0,0.0,0.0,0.0,11.7,30.2,50400.0,,26.55,5.36,1.0,Bâle
2023-06-18,28.0,17.0,0.0,0.0,0.0,0.0,12.9,32.0,50400.0,,28.61,6.02,3.0,Bâle
2023-06-19,27.4,19.7,0.0,0.0,0.0,0.0,12.2,31.3,50400.0,,26.9,5.88,3.0,Bâle
2023-06-20,29.3,19.2,0.0,0.0,0.0,0.0,12.4,32.0,50400.0,,27.81,5.89,3.0,Bâle
2023-06-21,30.3,20.3,0.0,0.0,0.0,0.0,13.0,33.8,48948.87,,27.81,6.05,3.0,Bâle
2023-06-22,33.5,22.4,0.0,0.0,0.0,0.0,13.0,33.8,50400.0,,27.89,6.64,3.0,Bâle
2023-06-23,30.4,21.0,4.4,4.4,0.0,0.0,19.0,40.7,50400.0,,26.69,6.26,61.0,Bâle
2023-06-24,29.0,20.5,0.2,0.2,0.0,0.0,24.4,52.2,50400.0,,26.63,7.07,51.0,Bâle
2023-06-25,29.0,19.2,0.0,0.0,0.0,0.0,20.5,45.7,50490.43,,27.92,6.31,2.0,Bâle
2023-06-26,29.7,21.3,0.0,0.0,0.0,0.0,19.6,44.6,50490.07,,27.83,6.69,1.0,Bâle
2023-06-27,30.7,20.9,0.0,0.0,0.0,0.0,14.2,32.4,49010.1,,26.27,6.02,3.0,Bâle
2023-06-28,26.7,18.7,0.3,0.3,0.0,0.0,27.9,57.2,48551.79,,24.7,6.33,51.0,Bâle
2023-06-29,28.0,18.0,0.0,0.0,0.0,0.0,15.9,39.2,50598.02,,28.63,6.59,3.0,Bâle
2023-06-30,27.0,18.1,1.3,1.3,0.0,0.0,15.6,38.5,44042.48,,26.08,5.76,53.0,Bâle
2023-07-01,23.6,17.6,20.9,20.9,0.0,0.0,17.3,31.3,31251.11,,19.52,3.44,63.0,Bâle
2023-07-02,26.1,17.9,0.8,0.8,0.0,0.0,14.6,33.5,50491.92,,27.04,5.19,53.0,Bâle
2023-07-03,28.2,20.3,0.0,0.0,0.0,0.0,13.3,33.1,50001.63,,26.5,5.49,3.0,Bâle
2023-07-04,26.7,19.7,8.9,8.9,0.0,0.0,12.4,30.2,48992.3,,26.56,5.14,63.0,Bâle
2023-07-05,26.2,17.9,3.4,3.4,0.0,0.0,23.0,46.8,46800.0,,26.78,5.35,63.0,Bâle
2023-07-06,28.6,20.2,1.1,1.1,0.0,0.0,23.1,50.0,43200.0,,22.35,4.94,53.0,Bâle
2023-07-07,28.4,19.5,0.9,0.9,0.0,0.0,14.0,34.2,50497.77,,27.2,5.69,53.0,Bâle
2023-07-08,29.0,19.5,0.0,0.0,0.0,0.0,14.6,33.5,50599.4,,27.97,6.49,3.0,Bâle
2023-07-09,31.0,21.4,0.1,0.1,0.0,0.0,16.5,39.2,50500.86,,27.57,6.69,51.0,Bâle
2023-07-10,31.7,22.4,0.0,0.0,0.0,0.0,13.5,32.8,50368.24,,27.38,6.13,3.0,Bâle
2023-07-11,32.8,22.3,0.0,0.0,0.0,0.0,13.0,32.8,50332.21,,27.49,6.54,3.0,Bâle
2023-07-12,31.6,24.4,0.3,0.3,0.0,0.0,18.9,40.3,39612.43,,24.3,6.4,51.0,Bâle
2023-07-13,29.7,21.2,5.6,5.6,0.0,0.0,24.8,54.0,41592.37,,18.77,4.23,63.0,Bâle
2023-07-14,30.4,21.1,0.1,0.1,0.0,0.0,19.8,40.0,50291.23,,27.59,6.5,51.0,Bâle
2023-07-15,30.1,21.0,0.0,0.0,0.0,0.0,14.4,33.8,50157.73,,27.76,5.91,0.0,Bâle
2023-07-16,32.9,22.8,0.0,0.0,0.0,0.0,12.9,31.0,50112.3,,27.54,6.34,0.0,Bâle
2023-07-17,31.9,24.2,0.0,0.0,0.0,0.0,15.1,34.6,50066.21,,27.6,6.33,0.0,Bâle
2023-07-18,33.9,24.2,0.0,0.0,0.0,0.0,16.5,36.7,49984.92,,27.06,6.25,3.0,Bâle
2023-07-19,33.0,24.6,0.0,0.0,0.0,0.0,11.8,35.3,47350.73,,25.06,5.8,3.0,Bâle
2023-07-20,31.0,22.6,0.1,0.1,0.0,0.0,17.3,34.2,49149.91,,26.12,5.69,51.0,Bâle
2023-07-21,29.9,22.0,34.2,34.2,0.0,0.0,19.1,47.2,41055.05,,21.0,4.88,65.0,Bâle
2023-07-22,28.0,19.5,12.0,12.0,0.0,0.0,14.8,31.3,43501.17,,18.6,3.68,65.0,Bâle
2023-07-23,30.2,21.2,1.8,1.8,0.0,0.0,19.3,43.2,49711.86,,25.04,5.36,61.0,Bâle
2023-07-24,30.3,22.4,0.0,0.0,0.0,0.0,18.7,42.5,46054.0,,23.72,5.31,3.0,Bâle
2023-07-25,29.4,21.7,6.9,6.9,0.0,0.0,24.4,56.9,39718.77,,20.18,4.52,63.0,Bâle
2023-07-26,26.2,19.1,1.7,1.7,0.0,0.0,26.7,54.7,48245.08,,23.55,5.07,55.0,Bâle
2023-07-27,25.0,17.8,0.0,0.0,0.0,0.0,18.0,35.6,49475.43,,26.71,5.79,0.0,Bâle
