time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,11.6,-1.2,0.0,0.0,0.0,0.0,11.7,28.4,44141.42,,22.88,2.75,2.0,Fribourg
2023-04-10,14.8,-0.4,0.0,0.0,0.0,0.0,15.8,32.4,28603.78,,17.35,2.84,3.0,Fribourg
2023-04-11,11.6,8.0,9.2,9.2,0.0,0.0,20.9,43.9,3991.15,,8.6,1.77,63.0,Fribourg
2023-04-12,12.6,6.4,5.5,5.5,0.0,0.0,23.6,50.4,5668.93,,9.42,1.6,61.0,Fribourg
2023-04-13,7.8,2.4,1.6,1.6,0.0,0.0,17.9,41.8,39232.23,,16.3,1.95,53.0,Fribourg
2023-04-14,10.9,0.8,1.4,1.0,0.0,0.28,11.5,22.3,41552.16,,20.71,2.76,71.0,Fribourg
2023-04-15,6.6,3.4,13.2,13.2,0.0,0.0,20.6,43.2,0.0,,3.11,0.6,63.0,Fribourg
2023-04-16,7.8,2.6,2.0,2.0,0.0,0.0,12.2,26.3,914.08,,5.38,0.86,53.0,Fribourg
2023-04-17,11.2,4.5,1.6,1.6,0.0,0.0,22.7,48.6,36923.06,,16.55,2.12,51.0,Fribourg
2023-04-18,13.6,4.8,0.0,0.0,0.0,0.0,16.8,34.9,40866.08,,18.87,2.54,3.0,Fribourg
2023-04-19,13.8,2.7,0.0,0.0,0.0,0.0,15.5,32.8,44839.82,,20.38,2.74,3.0,Fribourg
2023-04-20,6.4,1.8,8.9,7.0,0.0,1.33,17.0,33.8,13348.63,,8.2,1.0,73.0,Fribourg
2023-04-21,10.3,0.3,6.1,6.1,0.0,0.0,5.7,19.4,26935.21,,15.08,1.89,63.0,Fribourg
2023-04-22,15.3,1.3,0.0,0.0,0.0,0.0,11.2,27.7,38114.0,,18.35,2.67,3.0,Fribourg
2023-04-23,16.6,7.9,5.7,5.7,0.0,0.0,25.0,57.2,39516.7,,20.41,3.22,61.0,Fribourg
2023-04-24,11.4,5.2,5.1,5.1,0.0,0.0,21.9,46.8,41081.26,,20.07,2.66,61.0,Fribourg
2023-04-25,10.0,4.6,4.9,4.9,0.0,0.0,18.2,41.0,36867.08,,16.76,2.22,55.0,Fribourg
2023-04-26,13.7,1.0,0.0,0.0,0.0,0.0,8.4,20.9,37192.34,,20.46,2.88,3.0,Fribourg
2023-04-27,17.1,4.0,0.0,0.0,0.0,0.0,8.4,23.4,46800.0,,23.78,3.54,3.0,Fribourg
2023-04-28,19.4,8.7,4.7,4.7,0.0,0.0,19.2,45.4,32774.68,,16.76,3.17,63.0,Fribourg
2023-04-29,17.3,11.1,5.1,5.1,0.0,0.0,13.0,27.7,36482.51,,17.41,2.83,55.0,Fribourg
2023-04-30,13.6,9.0,0.8,0.8,0.0,0.0,17.4,36.7,20.01,,9.34,1.55,51.0,Fribourg
2023-05-01,13.2,8.3,10.2,10.2,0.0,0.0,9.6,24.1,3871.12,,11.12,1.69,61.0,Fribourg
2023-05-02,15.0,5.9,0.3,0.3,0.0,0.0,17.8,37.8,46800.0,,22.22,3.17,51.0,Fribourg
2023-05-03,16.5,5.8,0.0,0.0,0.0,0.0,20.0,43.2,46838.89,,25.62,3.54,2.0,Fribourg
2023-05-04,21.3,4.6,0.0,0.0,0.0,0.0,17.3,37.4,46942.67,,26.01,4.33,3.0,Fribourg
