time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,14.2,3.4,0.0,0.0,0.0,0.0,6.9,24.8,42788.86,,22.13,3.01,0.0,Lausanne
2023-04-10,14.3,4.2,0.0,0.0,0.0,0.0,5.5,18.4,29339.18,,16.85,2.56,3.0,Lausanne
2023-04-11,11.7,9.2,7.4,7.4,0.0,0.0,16.4,37.4,3534.81,,8.33,1.33,61.0,Lausanne
2023-04-12,12.4,7.5,14.1,14.1,0.0,0.0,22.9,55.1,3122.56,,8.58,1.38,63.0,Lausanne
2023-04-13,7.6,4.0,10.0,5.2,0.0,3.36,19.3,45.4,41732.96,,17.83,2.12,75.0,Lausanne
2023-04-14,9.4,2.9,3.7,1.2,0.0,1.75,8.5,19.4,37853.07,,20.49,2.58,75.0,Lausanne
2023-04-15,8.9,5.8,15.4,15.4,0.0,0.0,19.2,44.6,5305.52,,6.53,0.94,63.0,Lausanne
2023-04-16,9.9,4.9,1.1,1.1,0.0,0.0,14.8,34.6,1075.14,,7.2,1.18,51.0,Lausanne
2023-04-17,13.1,5.3,0.0,0.0,0.0,0.0,20.7,48.2,39183.97,,18.11,2.66,3.0,Lausanne
2023-04-18,15.3,6.0,0.0,0.0,0.0,0.0,12.5,36.4,42852.28,,21.51,3.17,3.0,Lausanne
2023-04-19,15.6,6.3,0.0,0.0,0.0,0.0,7.4,23.0,42724.07,,22.11,3.19,2.0,Lausanne
2023-04-20,8.4,3.8,2.7,2.7,0.0,0.0,9.1,22.3,18533.22,,10.6,1.37,55.0,Lausanne
2023-04-21,11.8,3.7,1.5,1.5,0.0,0.0,6.0,18.4,23173.64,,14.35,1.94,53.0,Lausanne
2023-04-22,14.1,5.4,6.5,6.5,0.0,0.0,8.4,21.2,28107.9,,16.08,2.38,63.0,Lausanne
2023-04-23,17.3,9.6,8.3,8.3,0.0,0.0,19.0,50.0,34840.88,,17.9,2.79,61.0,Lausanne
2023-04-24,12.0,7.2,8.6,8.6,0.0,0.0,20.3,47.5,42968.96,,19.55,2.64,63.0,Lausanne
2023-04-25,10.4,5.8,10.7,9.8,0.0,0.63,10.6,29.2,36593.91,,17.95,2.33,73.0,Lausanne
2023-04-26,14.1,5.0,0.0,0.0,0.0,0.0,6.1,16.6,45573.0,,23.02,3.32,3.0,Lausanne
2023-04-27,17.1,6.9,0.0,0.0,0.0,0.0,7.8,18.7,46800.0,,23.86,3.75,3.0,Lausanne
