time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,16.7,3.0,0.7,0.7,0.0,0.0,7.1,31.0,42817.62,,21.21,3.27,53.0,Sion
2023-04-10,18.0,4.0,0.0,0.0,0.0,0.0,6.2,41.8,31363.57,,18.32,3.11,3.0,Sion
2023-04-11,12.0,8.0,8.6,8.6,0.0,0.0,7.9,46.8,3214.68,,6.11,1.05,61.0,Sion
2023-04-12,17.2,6.9,11.5,11.4,0.0,0.07,8.2,69.5,15373.46,,12.08,2.05,71.0,Sion
2023-04-13,7.6,3.4,4.4,0.8,0.0,2.52,7.9,47.2,26736.34,,14.4,1.9,73.0,Sion
2023-04-14,12.6,3.8,1.9,0.5,0.0,0.98,5.0,41.4,25570.58,,12.91,2.07,73.0,Sion
2023-04-15,8.6,5.5,16.7,2.6,0.0,9.87,4.5,51.1,0.0,,6.75,1.03,75.0,Sion
2023-04-16,8.8,4.9,7.6,1.5,0.0,4.27,4.6,23.8,0.0,,7.46,1.15,73.0,Sion
2023-04-17,13.2,4.2,0.7,0.7,0.0,0.0,5.1,31.0,42663.14,,20.98,3.07,51.0,Sion
2023-04-18,17.0,3.5,0.0,0.0,0.0,0.0,5.9,31.7,45748.88,,23.84,3.72,2.0,Sion
2023-04-19,17.0,4.4,1.6,1.6,0.0,0.0,5.8,34.9,45928.63,,22.17,3.53,53.0,Sion
2023-04-20,14.7,3.4,8.1,4.4,0.0,2.59,5.4,54.7,31254.67,,16.34,2.33,75.0,Sion
2023-04-21,15.5,2.8,0.0,0.0,0.0,0.0,7.2,48.2,36745.22,,17.14,2.66,3.0,Sion
2023-04-22,19.5,4.6,1.8,1.8,0.0,0.0,8.9,50.4,36110.82,,20.74,3.46,55.0,Sion
2023-04-23,18.9,7.4,13.4,13.4,0.0,0.0,6.7,56.2,38485.57,,19.39,3.24,63.0,Sion
2023-04-24,13.8,5.5,7.9,3.4,0.0,3.15,8.6,57.6,34523.51,,18.0,2.79,75.0,Sion
2023-04-25,10.7,4.8,12.8,0.9,0.0,8.33,7.9,46.4,44205.15,,20.8,2.77,75.0,Sion
2023-04-26,17.2,2.5,0.0,0.0,0.0,0.0,8.5,42.8,44955.82,,22.71,3.61,3.0,Sion
2023-04-27,20.0,6.2,0.0,0.0,0.0,0.0,9.4,41.8,45262.39,,21.54,3.71,3.0,Sion
2023-04-28,21.0,8.1,6.4,6.4,0.0,0.0,6.4,54.7,30459.38,,15.63,2.89,63.0,Sion
2023-04-29,18.9,12.5,14.5,14.5,0.0,0.0,4.0,31.7,21752.48,,13.82,2.52,61.0,Sion
2023-04-30,18.0,10.0,4.9,4.9,0.0,0.0,4.6,27.4,15531.19,,13.13,2.26,61.0,Sion
2023-05-01,11.6,7.1,17.5,17.3,0.0,0.14,4.8,25.6,0.0,,7.45,1.21,71.0,Sion
2023-05-02,18.5,8.4,2.5,2.5,0.0,0.0,7.7,38.2,36032.0,,19.81,3.36,55.0,Sion
2023-05-03,22.1,4.8,0.0,0.0,0.0,0.0,5.9,30.6,46800.0,,26.88,4.59,3.0,Sion
2023-05-04,24.5,7.4,0.1,0.1,0.0,0.0,6.6,36.4,47067.7,,26.76,4.78,51.0,Sion
2023-05-05,23.6,9.5,0.0,0.0,0.0,0.0,7.4,45.0,46761.54,,22.72,4.08,3.0,Sion
2023-05-06,23.1,9.9,1.1,1.1,0.0,0.0,7.2,36.4,46800.0,,22.95,4.04,53.0,Sion
2023-05-07,20.9,10.1,2.1,2.1,0.0,0.0,5.8,41.8,28896.25,,17.88,3.14,51.0,Sion
2023-05-08,18.6,12.6,3.4,3.4,0.0,0.0,5.4,28.4,35187.48,,15.45,2.71,51.0,Sion
2023-05-09,21.8,10.9,10.2,10.2,0.0,0.0,6.9,53.6,23616.9,,16.13,3.01,63.0,Sion
2023-05-10,14.5,8.9,22.8,21.9,0.0,0.63,6.4,36.7,28800.0,,14.62,2.31,73.0,Sion
2023-05-11,13.1,8.8,22.3,17.5,0.0,3.36,3.9,26.6,4264.3,,7.65,1.3,75.0,Sion
2023-05-12,16.7,6.8,1.7,1.7,0.0,0.0,5.0,35.6,34653.46,,20.12,3.24,53.0,Sion
2023-05-13,17.5,6.8,3.9,3.9,0.0,0.0,6.7,35.6,41273.04,,21.2,3.39,61.0,Sion
2023-05-14,15.1,8.1,5.2,5.2,0.0,0.0,5.8,31.3,17022.63,,11.4,1.87,53.0,Sion
2023-05-15,15.1,10.5,14.6,14.6,0.0,0.0,3.7,28.8,22317.95,,11.08,1.88,61.0,Sion
