time,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,windspeed_10m_max,windgusts_10m_max,sunshine_duration,uv_index_max,shortwave_radiation_sum,et0_fao_evapotranspiration,weathercode,city
2023-04-09,11.8,0.6,0.0,0.0,0.0,0.0,10.1,24.5,44187.61,,19.04,2.51,3.0,Zurich
2023-04-10,16.0,1.1,0.0,0.0,0.0,0.0,12.0,29.2,38093.93,,19.64,2.97,3.0,Zurich
2023-04-11,11.9,6.6,5.2,5.2,0.0,0.0,18.9,42.8,4420.72,,6.57,1.3,61.0,Zurich
2023-04-12,13.9,6.4,7.2,7.2,0.0,0.0,22.1,47.9,7934.66,,9.03,1.58,55.0,Zurich
2023-04-13,7.9,2.3,17.0,10.2,0.0,4.76,15.0,47.2,18201.88,,11.29,1.46,75.0,Zurich
2023-04-14,11.1,0.9,1.3,0.8,0.0,0.35,8.7,23.4,44961.66,,20.19,2.6,73.0,Zurich
2023-04-15,8.7,2.3,3.8,3.8,0.0,0.0,10.8,25.6,636.87,,5.94,1.0,55.0,Zurich
2023-04-16,7.7,5.5,22.9,22.9,0.0,0.0,11.3,23.8,0.0,,3.42,0.63,61.0,Zurich
2023-04-17,12.5,6.2,4.3,4.3,0.0,0.0,14.7,33.8,35211.96,,15.92,2.22,53.0,Zurich
2023-04-18,14.6,5.1,0.2,0.2,0.0,0.0,13.7,30.6,22231.12,,12.9,2.09,51.0,Zurich
2023-04-19,12.3,4.5,2.2,2.2,0.0,0.0,16.8,35.6,3260.96,,9.47,1.6,53.0,Zurich
2023-04-20,6.8,2.8,19.3,18.0,0.0,0.91,11.2,31.3,0.0,,5.28,0.78,73.0,Zurich
2023-04-21,14.4,1.3,0.1,0.1,0.0,0.0,8.0,22.0,36000.0,,19.3,2.67,51.0,Zurich
2023-04-22,19.2,4.4,0.1,0.1,0.0,0.0,17.4,37.8,37316.27,,18.52,2.94,51.0,Zurich
2023-04-23,17.7,9.8,10.1,10.1,0.0,0.0,14.5,34.6,33201.9,,17.97,2.98,61.0,Zurich
2023-04-24,12.2,6.2,3.2,3.2,0.0,0.0,18.3,44.6,33310.23,,14.1,2.14,53.0,Zurich
2023-04-25,10.2,4.2,9.1,9.1,0.0,0.0,14.7,36.0,16732.58,,10.45,1.4,61.0,Zurich
2023-04-26,13.3,3.3,0.3,0.3,0.0,0.0,5.9,16.9,39323.88,,18.56,2.61,51.0,Zurich
2023-04-27,16.9,8.2,0.8,0.8,0.0,0.0,7.3,15.1,39499.22,,19.97,3.17,51.0,Zurich
2023-04-28,17.3,7.5,25.3,25.3,0.0,0.0,13.2,33.8,10282.59,,8.86,1.53,63.0,Zurich
2023-04-29,19.6,11.6,2.3,2.3,0.0,0.0,12.0,28.1,39349.43,,16.63,2.86,53.0,Zurich
2023-04-30,16.6,9.0,0.5,0.5,0.0,0.0,17.2,37.1,17315.58,,12.36,2.19,51.0,Zurich
2023-05-01,13.3,9.8,16.5,16.5,0.0,0.0,12.8,28.4,1911.23,,7.91,1.36,61.0,Zurich
2023-05-02,15.2,6.7,3.3,3.3,0.0,0.0,7.7,21.2,38945.1,,15.91,2.41,55.0,Zurich
2023-05-03,17.8,4.9,0.0,0.0,0.0,0.0,17.5,39.2,47095.39,,23.27,3.51,3.0,Zurich
2023-05-04,21.7,6.1,0.0,0.0,0.0,0.0,9.2,16.6,47314.57,,25.61,4.19,3.0,Zurich
2023-05-05,22.6,9.9,1.5,1.5,0.0,0.0,15.4,41.4,39504.38,,21.47,3.71,61.0,Zurich
2023-05-06,20.9,11.1,0.2,0.2,0.0,0.0,6.9,19.8,46800.0,,21.31,3.57,51.0,Zurich
2023-05-07,19.9,10.0,13.6,13.6,0.0,0.0,13.6,29.9,27093.4,,17.93,2.97,63.0,Zurich
2023-05-08,17.4,11.4,7.6,7.6,0.0,0.0,8.0,19.8,24206.31,,13.35,2.22,63.0,Zurich
2023-05-09,19.6,10.3,12.5,12.5,0.0,0.0,9.2,22.7,30892.37,,16.46,2.84,61.0,Zurich
2023-05-10,14.4,9.5,12.7,12.7,0.0,0.0,14.9,35.6,9099.74,,11.82,1.92,61.0,Zurich
2023-05-11,13.3,9.5,4.7,4.7,0.0,0.0,8.2,22.3,10289.17,,10.63,1.7,53.0,Zurich
2023-05-12,16.1,8.5,1.6,1.6,0.0,0.0,10.6,27.0,34597.71,,18.37,2.88,51.0,Zurich
2023-05-13,14.6,8.6,0.5,0.5,0.0,0.0,12.2,28.4,29670.06,,15.61,2.36,51.0,Zurich
2023-05-14,14.9,7.6,12.5,12.5,0.0,0.0,11.3,27.4,16077.43,,11.97,1.87,63.0,Zurich
2023-05-15,16.8,7.2,12.3,12.3,0.0,0.0,10.2,23.4,44164.67,,18.99,2.86,63.0,Zurich
2023-05-16,13.4,8.4,14.0,14.0,0.0,0.0,17.2,37.8,11423.76,,9.18,1.43,63.0,Zurich
2023-05-17,12.3,7.4,2.0,2.0,0.0,0.0,21.1,46.4,15637.27,,14.68,2.49,53.0,Zurich
2023-05-18,13.6,6.0,0.0,0.0,0.0,0.0,15.6,34.6,16058.14,,11.85,2.17,3.0,Zurich
2023-05-19,15.0,7.9,0.1,0.1,0.0,0.0,12.8,27.4,22546.16,,14.93,2.38,51.0,Zurich
2023-05-20,19.1,7.9,0.4,0.4,0.0,0.0,10.7,27.4,29359.32,,17.28,2.74,51.0,Zurich
2023-05-21,23.4,10.3,0.0,0.0,0.0,0.0,6.2,16.9,46328.79,,23.14,4.05,3.0,Zurich
2023-05-22,24.4,11.0,0.1,0.1,0.0,0.0,13.5,29.2,48797.94,,25.65,4.54,51.0,Zurich
2023-05-23,20.8,12.7,10.6,10.6,0.0,0.0,11.2,31.3,32632.54,,17.4,3.03,63.0,Zurich
2023-05-24,14.3,11.4,4.2,4.2,0.0,0.0,13.8,31.7,362.78,,7.42,1.44,53.0,Zurich
2023-05-25,19.7,9.9,3.1,3.1,0.0,0.0,14.6,32.0,24094.97,,17.61,3.0,53.0,Zurich
2023-05-26,23.1,11.4,0.0,0.0,0.0,0.0,11.9,26.3,49954.12,,23.63,4.2,3.0,Zurich
2023-05-27,22.5,11.0,0.0,0.0,0.0,0.0,14.8,33.1,51158.37,,27.73,4.74,0.0,Zurich
2023-05-28,22.9,9.2,0.1,0.1,0.0,0.0,13.1,28.4,51515.06,,27.61,4.84,51.0,Zurich
2023-05-29,23.3,9.2,0.0,0.0,0.0,0.0,17.6,38.5,51726.42,,28.0,5.1,0.0,Zurich
2023-05-30,22.7,9.8,0.0,0.0,0.0,0.0,17.8,39.2,49507.91,,26.86,4.89,3.0,Zurich
2023-05-31,23.6,12.1,0.3,0.3,0.0,0.0,13.6,29.5,51839.85,,27.18,5.01,51.0,Zurich
2023-06-01,24.3,11.3,0.0,0.0,0.0,0.0,8.4,20.2,51574.26,,27.55,5.0,3.0,Zurich
2023-06-02,24.6,12.0,0.0,0.0,0.0,0.0,11.2,24.8,52100.32,,27.64,5.19,3.0,Zurich
2023-06-03,24.0,11.3,0.0,0.0,0.0,0.0,10.3,24.5,51984.54,,27.63,5.13,1.0,Zurich
2023-06-04,23.7,12.6,0.0,0.0,0.0,0.0,14.0,30.2,52190.42,,25.2,4.74,3.0,Zurich
2023-06-05,23.1,11.7,0.0,0.0,0.0,0.0,13.0,31.0,51732.07,,26.83,4.86,1.0,Zurich
2023-06-06,23.6,11.6,0.2,0.2,0.0,0.0,12.8,29.2,52602.11,,26.51,4.94,51.0,Zurich
2023-06-07,25.0,11.2,0.0,0.0,0.0,0.0,8.2,21.2,52469.06,,28.31,5.32,1.0,Zurich
2023-06-08,25.4,14.5,1.9,1.9,0.0,0.0,9.4,30.2,52329.63,,26.6,4.92,61.0,Zurich
2023-06-09,26.3,12.8,0.0,0.0,0.0,0.0,11.4,25.9,51840.04,,27.99,5.54,3.0,Zurich
2023-06-10,26.2,14.0,0.1,0.1,0.0,0.0,11.0,26.6,52205.9,,27.19,5.28,51.0,Zurich
2023-06-11,26.0,14.7,0.0,0.0,0.0,0.0,16.4,37.1,52921.39,,26.72,5.48,2.0,Zurich
2023-06-12,25.9,12.3,0.0,0.0,0.0,0.0,13.5,31.0,52962.69,,28.92,5.86,0.0,Zurich
2023-06-13,24.6,13.4,0.0,0.0,0.0,0.0,14.8,33.8,52999.9,,28.93,5.96,2.0,Zurich
2023-06-14,25.9,10.2,0.0,0.0,0.0,0.0,19.5,42.1,48191.55,,27.86,5.84,3.0,Zurich
2023-06-15,25.1,11.8,0.1,0.1,0.0,0.0,9.8,23.4,51911.59,,25.79,5.19,51.0,Zurich
2023-06-16,25.1,13.2,0.0,0.0,0.0,0.0,8.0,23.0,52811.8,,27.21,5.3,1.0,Zurich
2023-06-17,26.8,14.7,0.0,0.0,0.0,0.0,8.8,17.3,53106.99,,27.54,5.32,3.0,Zurich
2023-06-18,29.8,16.1,0.0,0.0,0.0,0.0,10.2,25.2,51185.91,,27.73,5.65,3.0,Zurich
2023-06-19,28.7,17.8,8.0,8.0,0.0,0.0,9.7,25.2,48933.96,,25.34,5.04,63.0,Zurich
2023-06-20,30.1,18.1,8.8,8.8,0.0,0.0,19.5,41.0,38306.29,,22.83,4.79,63.0,Zurich
2023-06-21,27.2,18.1,1.6,1.6,0.0,0.0,9.1,27.0,47188.58,,23.12,4.53,61.0,Zurich
2023-06-22,30.1,18.4,8.2,8.2,0.0,0.0,17.7,41.0,36562.95,,21.4,4.25,63.0,Zurich
2023-06-23,23.0,16.5,7.6,7.6,0.0,0.0,16.3,34.9,47840.28,,22.55,4.2,61.0,Zurich
2023-06-24,24.8,13.0,0.0,0.0,0.0,0.0,18.8,41.0,53129.59,,28.52,5.47,3.0,Zurich
2023-06-25,27.9,13.1,0.0,0.0,0.0,0.0,9.8,22.7,53115.36,,29.02,5.44,0.0,Zurich
2023-06-26,28.1,17.3,0.1,0.1,0.0,0.0,15.3,34.2,50333.54,,25.11,5.42,51.0,Zurich
2023-06-27,23.7,17.2,0.5,0.5,0.0,0.0,8.6,23.0,45720.38,,23.66,4.61,51.0,Zurich
2023-06-28,24.5,15.3,0.0,0.0,0.0,0.0,9.0,21.2,48527.96,,23.01,4.55,3.0,Zurich
2023-06-29,28.4,13.8,0.3,0.3,0.0,0.0,8.3,22.0,43096.48,,25.27,5.06,51.0,Zurich
2023-06-30,21.9,17.1,10.2,10.2,0.0,0.0,12.4,26.3,14990.76,,12.85,2.54,63.0,Zurich
2023-07-01,23.4,15.7,0.7,0.7,0.0,0.0,18.6,39.6,40627.8,,22.95,4.59,51.0,Zurich
2023-07-02,22.7,15.8,3.5,3.5,0.0,0.0,14.8,32.4,33880.76,,17.58,3.48,53.0,Zurich
2023-07-03,23.2,16.7,0.3,0.3,0.0,0.0,17.0,35.6,32400.0,,17.55,3.79,51.0,Zurich
2023-07-04,24.4,15.1,9.3,9.3,0.0,0.0,9.7,22.3,45269.6,,24.85,4.57,63.0,Zurich
2023-07-05,20.8,14.7,2.0,2.0,0.0,0.0,19.9,46.4,51685.75,,21.36,3.69,53.0,Zurich
2023-07-06,23.6,14.4,0.0,0.0,0.0,0.0,7.7,16.2,49746.69,,25.51,4.59,3.0,Zurich
2023-07-07,28.7,13.5,0.0,0.0,0.0,0.0,9.0,16.9,52601.72,,27.77,5.49,3.0,Zurich
2023-07-08,27.9,17.8,0.0,0.0,0.0,0.0,10.2,29.2,48199.77,,24.16,4.97,3.0,Zurich
2023-07-09,32.8,17.5,0.0,0.0,0.0,0.0,8.1,13.0,50962.07,,27.0,5.57,3.0,Zurich
2023-07-10,29.5,19.5,2.2,2.2,0.0,0.0,10.5,25.6,46051.82,,22.63,4.69,61.0,Zurich
2023-07-11,32.8,18.1,0.7,0.7,0.0,0.0,11.8,30.6,49481.2,,24.19,5.27,51.0,Zurich
2023-07-12,24.8,18.5,33.5,33.5,0.0,0.0,17.3,48.6,27737.6,,16.43,3.25,63.0,Zurich
2023-07-13,23.4,16.9,6.3,6.3,0.0,0.0,9.6,23.4,31726.16,,17.11,3.36,61.0,Zurich
2023-07-14,27.0,13.2,0.0,0.0,0.0,0.0,7.7,19.4,52039.23,,27.11,5.04,3.0,Zurich
2023-07-15,32.3,18.5,0.0,0.0,0.0,0.0,11.6,53.3,51945.66,,26.2,5.57,3.0,Zurich
2023-07-16,22.6,15.8,4.9,4.9,0.0,0.0,16.2,35.3,38067.5,,18.96,3.5,61.0,Zurich
2023-07-17,25.5,17.4,2.0,2.0,0.0,0.0,8.3,22.3,41314.81,,23.99,4.61,55.0,Zurich
2023-07-18,25.9,16.4,27.9,27.9,0.0,0.0,14.3,40.0,38028.65,,18.61,3.58,65.0,Zurich
2023-07-19,26.1,17.9,28.2,28.2,0.0,0.0,14.8,38.2,46596.97,,20.69,3.96,63.0,Zurich
2023-07-20,24.9,16.9,0.8,0.8,0.0,0.0,7.7,21.2,45681.38,,22.69,4.33,51.0,Zurich
2023-07-21,23.3,15.7,4.1,4.1,0.0,0.0,19.5,43.9,48203.95,,21.85,3.99,61.0,Zurich
2023-07-22,24.3,16.0,1.1,1.1,0.0,0.0,13.4,29.5,46244.32,,24.75,4.57,51.0,Zurich
2023-07-23,28.0,16.0,0.0,0.0,0.0,0.0,13.2,40.7,50548.81,,25.64,5.11,3.0,Zurich
2023-07-24,21.9,16.6,11.8,11.8,0.0,0.0,16.7,36.7,17681.03,,13.41,2.52,63.0,Zurich
2023-07-25,20.1,13.6,29.5,29.5,0.0,0.0,23.7,54.7,45873.4,,20.02,3.28,63.0,Zurich
2023-07-26,17.4,11.4,6.7,6.7,0.0,0.0,16.3,37.4,36986.25,,16.26,2.56,61.0,Zurich
2023-07-27,24.7,11.1,0.0,0.0,0.0,0.0,13.4,33.8,33502.31,,18.8,3.59,3.0,Zurich
2023-07-28,25.7,14.9,4.7,4.7,0.0,0.0,20.8,45.7,47015.54,,20.04,3.74,63.0,Zurich
2023-07-29,23.5,15.8,10.0,10.0,0.0,0.0,15.1,37.1,14597.97,,12.78,2.35,61.0,Zurich
2023-07-30,23.3,15.7,7.6,7.6,0.0,0.0,19.0,40.0,38994.08,,19.71,3.57,63.0,Zurich
2023-07-31,23.9,13.0,0.0,0.0,0.0,0.0,10.1,25.6,34491.27,,22.42,4.08,3.0,Zurich
2023-08-01,20.7,14.0,24.3,24.3,0.0,0.0,21.7,48.6,14858.72,,10.81,2.33,63.0,Zurich
2023-08-02,28.1,13.5,1.2,1.2,0.0,0.0,35.3,71.6,33488.03,,19.43,4.67,53.0,Zurich
2023-08-03,23.0,15.0,0.0,0.0,0.0,0.0,26.3,54.7,47190.53,,24.86,5.18,2.0,Zurich
2023-08-04,21.6,13.0,8.8,8.8,0.0,0.0,15.1,32.8,35067.63,,17.57,3.04,61.0,Zurich
2023-08-05,19.9,13.9,2.9,2.9,0.0,0.0,10.7,22.7,38707.03,,17.77,3.05,53.0,Zurich
2023-08-06,15.6,11.7,17.8,17.8,0.0,0.0,24.4,57.2,22807.54,,10.66,1.97,63.0,Zurich
2023-08-07,16.9,10.5,3.4,3.4,0.0,0.0,16.4,37.1,41556.07,,18.55,2.96,61.0,Zurich
2023-08-08,21.0,10.8,0.0,0.0,0.0,0.0,11.0,25.2,41359.91,,20.39,3.59,3.0,Zurich
2023-08-09,22.6,13.7,0.0,0.0,0.0,0.0,14.1,32.4,24391.92,,14.12,2.9,3.0,Zurich
2023-08-10,25.8,14.6,0.0,0.0,0.0,0.0,7.7,17.6,46800.0,,24.61,4.49,3.0,Zurich
2023-08-11,28.5,14.0,0.0,0.0,0.0,0.0,5.9,15.1,46910.46,,24.57,4.65,3.0,Zurich
2023-08-12,27.4,18.9,2.0,2.0,0.0,0.0,17.5,39.2,43200.0,,20.1,3.93,61.0,Zurich
2023-08-13,28.0,17.6,0.0,0.0,0.0,0.0,7.1,17.3,43200.0,,21.46,4.18,3.0,Zurich
2023-08-14,29.2,18.9,0.0,0.0,0.0,0.0,7.4,16.9,46800.0,,22.63,4.47,3.0,Zurich
2023-08-15,29.3,19.5,7.1,7.1,0.0,0.0,10.5,25.6,45943.61,,21.39,4.24,63.0,Zurich
2023-08-16,29.5,17.4,0.2,0.2,0.0,0.0,5.1,14.8,46800.0,,23.22,4.51,51.0,Zurich
